-8,1,0
-1,2,0
6,3,0
12,4,0
19,5,0
26,6,0
32,7,0
39,8,0
46,9,0
52,10,0
59,11,0
66,12,0
72,13,0
79,14,0
85,15,0
92,16,0
99,17,0
105,18,0
112,19,0
119,20,0
125,21,0
132,22,0
139,23,0
145,24,0
152,25,0
158,26,0
165,27,0
172,28,0
178,29,0
185,30,0
192,31,0
198,32,0
205,33,0
212,34,0
218,35,0
225,36,0
232,37,0
238,38,0
245,39,0
251,40,0
258,41,0
265,42,0
271,43,0
278,44,0
285,45,0
291,46,0
298,47,0
305,48,0
311,49,0
318,50,0
324,51,0
331,52,0
338,53,0
344,54,0
351,55,0
358,56,0
364,57,0
371,58,0
378,59,0
384,60,0
391,61,0
398,62,0
404,63,0
411,64,0
417,65,0
424,66,0
431,67,0
437,68,0
444,69,0
451,70,0
457,71,0
464,72,0
471,73,0
477,74,0
484,75,0
491,76,0
497,77,0
504,78,0
510,79,0
517,80,0
524,81,0
530,82,0
537,83,0
544,84,0
550,85,0
557,86,0
564,87,0
570,88,0
577,89,0
583,90,0
590,91,0
597,92,0
603,93,0
610,94,0
617,95,0
623,96,0
630,97,0
637,98,0
643,99,0
650,100,0
657,101,0
663,102,0
670,103,0
676,104,0
683,105,0
690,106,0
696,107,0
703,108,0
710,109,0
716,110,0
723,111,0
730,112,0
736,113,0
743,114,0
749,115,0
756,116,0
763,117,0
769,118,0
776,119,0
783,120,0
789,121,0
796,122,0
809,124,0
816,125,0
823,126,0
829,127,0
836,128,0
842,129,0
849,130,0
856,131,0
862,132,0
869,133,0
876,134,0
882,135,0
889,136,0
896,137,0
902,138,0
909,139,0
916,140,0
922,141,0
929,142,0
935,143,0
942,144,0
949,145,0
955,146,0
962,147,0
969,148,0
975,149,0
982,150,0
989,151,0
995,152,0
1002,153,0
1008,154,0
1015,155,0
1022,156,0
1028,157,0
1035,158,0
1042,159,0
1048,160,0
1055,161,0
1062,162,0
1068,163,0
1075,164,0
1082,165,0
1088,166,0
1095,167,0
1101,168,0
1108,169,0
1115,170,0
1121,171,0
1128,172,0
1135,173,0
1141,174,0
1148,175,0
1155,176,0
1161,177,0
1168,178,0
1174,179,0
1181,180,0
1188,181,0
1194,182,0
1201,183,0
1208,184,0
1214,185,0
1221,186,0
1228,187,0
1234,188,0
1241,189,0
1248,190,0
1254,191,0
1261,192,0
1267,193,0
1274,194,0
1281,195,0
1287,196,0
1294,197,0
1301,198,0
1307,199,0
1314,200,0
1321,201,0
1327,202,0
1334,203,0
1340,204,0
1347,205,0
1354,206,0
1360,207,0
1367,208,0
1374,209,0
1380,210,0
1387,211,0
1394,212,0
1400,213,0
1407,214,0
1414,215,0
1420,216,0
1427,217,0
1433,218,0
1440,219,0
1447,220,0
1453,221,0
1460,222,0
1467,223,0
1473,224,0
1480,225,0
1487,226,0
1493,227,0
1500,228,0
1507,229,0
1513,230,0
1520,231,0
1526,232,0
1533,233,0
1540,234,0
1546,235,0
1553,236,0
1560,237,0
1566,238,0
1573,239,0
1580,240,0
1586,241,0
1593,242,0
1599,243,0
1606,244,0
1613,245,0
1619,246,0
1626,247,0
1633,248,0
1639,249,0
1646,250,0
1653,251,0
1666,253,0
1673,254,0
1679,255,0
1686,256,0
1692,257,0
1699,258,0
1706,259,0
1712,260,0
1719,261,0
1726,262,0
1732,263,0
1739,264,0
1746,265,0
1752,266,0
1759,267,0
1765,268,0
1772,269,0
1779,270,0
1785,271,0
1792,272,0
1799,273,0
1805,274,0
1812,275,0
1819,276,0
1825,277,0
1832,278,0
1839,279,0
1845,280,0
1852,281,0
1858,282,0
1865,283,0
1872,284,0
1878,285,0
1885,286,0
1892,287,0
1898,288,0
1905,289,0
1912,290,0
1918,291,0
1925,292,0
1932,293,0
1938,294,0
1945,295,0
1951,296,0
1958,297,0
1965,298,0
1971,299,0
1978,300,0
1985,301,0
1991,302,0
1998,303,0
2005,304,0
2011,305,0
2018,306,0
2024,307,0
2031,308,0
2038,309,0
2044,310,0
2051,311,0
2058,312,0
2064,313,0
2071,314,0
2078,315,0
2084,316,0
2091,317,0
2098,318,0
2104,319,0
2111,320,0
2117,321,0
2124,322,0
2131,323,0
2137,324,0
2144,325,0
2151,326,0
2157,327,0
2164,328,0
2171,329,0
2177,330,0
2184,331,0
2190,332,0
