trialid,puffDur,puffNum,puffFreq,totalDur,totalRecDur,iti
0,40,24,8,3,3.5,5
1,40,8,0.5,3,3.5,5
2,40,9,3,3,3.5,5
3,40,45,15,3,3.5,5
4,40,24,8,3,3.5,5
5,40,5,1,5,5.5,5
6,40,9,3,3,3.5,5
7,40,24,8,3,3.5,5
